filename_a,filename_b,score,vector_score,skill_overlap,seniority,family_a,family_b,same_function,restricted,human_label
20210815_00120950_JDFN_CUPE_20210604.docx,20191127_00122227_JDFN_APEX_20191127.docx,0.3830,0.7120,0.0057,0.6000,unmapped,unmapped,True,True,
20211126_00131683_JDFN_APSA_20211126.docx,20041130_00097295Systems_consultantIII.doc,0.3901,0.7113,0.0000,0.7000,manager,unmapped,True,False,
20230829_20130802_00096620_Technician_(1).docx,20190827_00101952_ITP_III.docx,0.3929,0.7381,0.0295,0.4750,unmapped,unmapped,True,False,
19991001_00000747Systems_consultantI.doc,19961018_00006864Systems_consultantI.doc,0.5497,0.9994,0.0000,1.0000,unmapped,unmapped,False,False,
20040317_00000147Technician.doc,"20070207_147,_Technician,Gr_10.Chemistry.doc",0.5064,0.9697,0.0000,0.7000,unmapped,unmapped,False,False,
20060701_00001253ITP_V.doc,"20080109_00001253_ITP_V,_gr15_Dir,_Network_Services.doc",0.5200,0.9999,0.0000,0.7000,director,unmapped,False,False,
20060701_00001253ITP_V.doc,20080421_103869_ITP_V.doc,0.5200,0.9999,0.0000,0.7000,director,unmapped,False,False,
20060701_00030478ITP_V.doc,"20080109_00001253_ITP_V,_gr15_Dir,_Network_Services.doc",0.5200,0.9999,0.0000,0.7000,director,unmapped,False,False,
20060701_00030478ITP_V.doc,20080421_103869_ITP_V.doc,0.5200,0.9999,0.0000,0.7000,director,unmapped,False,False,
20060701_00031223ITP_V.doc,20080109_0098283_ITP_V_ESPMO.doc,0.5200,0.9999,0.0000,0.7000,director,unmapped,False,False,
20060701_00099176ITP_IV.doc,20060701_00030485ITP_IV.doc,0.5200,1.0000,0.0000,0.7000,manager,unmapped,False,False,
20060701_00099176ITP_IV.doc,20090401_00030312_ITP_IV.doc,0.5200,1.0000,0.0000,0.7000,manager,unmapped,False,False,
20060718_00001043Technician.doc,"20110319_20060607_76037_Technician,_Gr_7_SFU_Doc_Solutions.doc",0.5200,1.0000,0.0000,0.7000,manager,manager,False,False,
"20080109_00103408_ITP_V,_Director_IT_Infrastructure.doc",20060701_00098283ITP_V.doc,0.5200,0.9999,0.0000,0.7000,unmapped,director,False,False,
20080109_0031223_ITP_V_UCS.doc,20060701_00098283ITP_V.doc,0.5200,0.9999,0.0000,0.7000,unmapped,director,False,False,
20080418_00031279_Info_Tech_Professional_IV.doc,20060701_00006596ITP_IV.doc,0.5200,1.0000,0.0000,0.7000,unmapped,manager,False,False,
